"Player","Games","Min","Ast.To","PPS","DRTG","ORTG","NRTG","TS.","USG.","ORB.","DRB.","TRB.","FGA","FGA2","FGA3","FGM2","FGM3","StlPer","AstPer","eFGPer","FloorPer","Season","Team"
"0",0,"0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0","0"
"RANDOLPH, ANTHONY",34,"720:34",0.98,1.36,107.37,116.81,9.44,0.6,22.27,7.47,20.81,14.34,254,175,79,98,29,1.01,9.32,55.71,54.17,"2016-2017","Real Madrid"
"REYES, FELIPE",31,"382:24",0.88,1.5,108.93,115.96,7.03,0.59,20.68,9.6,16.89,13.36,109,97,12,48,4,1.47,8.85,49.54,56.26,"2016-2017","Real Madrid"
"TAYLOR, JEFFERY",30,"465:05",1.23,1.38,113.3,123.88,10.58,0.62,13.07,6.58,7.19,6.9,100,49,51,30,20,1.57,5.3,60,54.99,"2016-2017","Real Madrid"
"THOMPKINS, TREY",26,"355:52",0.4,1.34,110.38,117.11,6.73,0.62,19.46,4.82,15.56,10.35,118,57,61,27,29,1.26,2.81,59.75,48.89,"2016-2017","Real Madrid"
"0",0,"0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0","0"
"JANKUNAS, PAULIUS",30,"709:23",0.88,1.52,112.08,119.57,7.49,0.63,25.49,7.47,25.73,16.52,256,208,48,114,19,1.52,12.28,55.66,56.4,"2016-2017","Zalgiris Kaunas"
"JAVTOKAS, ROBERTAS",17,"124:12",0.44,1.39,119.82,105.85,-13.97,0.62,16.42,11.17,12.42,11.79,28,28,1,17,0,0.48,5.8,60.71,53.01,"2016-2017","Zalgiris Kaunas"
"KAVALIAUSKAS, ANTANAS",29,"340:07",0.37,1.62,117.14,112.84,-4.3,0.69,22.23,14.47,14.74,14.6,98,97,1,63,0,0.88,7.53,64.29,55.37,"2016-2017","Zalgiris Kaunas"
"LEKAVICIUS, LUKAS",30,"543:14",2.08,1.21,116.52,109.27,-7.25,0.54,26.48,2.55,11.12,6.8,212,138,74,70,25,2.1,36.98,50.71,49.72,"2016-2017","Zalgiris Kaunas"
"LIMA, AUGUSTO",30,"446:20",0.81,1.38,111.06,109.5,-1.56,0.57,16.77,14.42,17.57,15.98,101,101,1,58,0,2.29,8.76,57.43,55.65,"2016-2017","Zalgiris Kaunas"
"MILAKNIS, ARTURAS",30,"633:20",1.63,1.2,120.99,116.56,-4.43,0.57,16.79,2.39,6.9,4.62,183,38,145,18,56,0.76,8.5,55.74,45.2,"2016-2017","Zalgiris Kaunas"
"MOTUM, BROCK",30,"693:22",0.55,1.4,117.48,120.93,3.45,0.64,20.56,7.28,11.68,9.46,230,152,78,88,36,1.56,4.49,61.74,55.12,"2016-2017","Zalgiris Kaunas"
"PANGOS, KEVIN",30,"624:02",2.13,1.13,116.46,110.06,-6.4,0.53,23.3,2.83,8.24,5.51,231,102,129,29,59,2.6,27.89,50.87,44.23,"2016-2017","Zalgiris Kaunas"
"SEIBUTIS, RENALDAS",30,"374:34",1.56,1.01,117.46,93.24,-24.22,0.44,13.71,2.02,10.98,6.46,73,49,24,20,5,1.6,11.94,37.67,43.84,"2016-2017","Zalgiris Kaunas"
